,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
305,http://flipkart.com/allen-solly-color-block-men-polo-neck-multicolor-t-shirt/p/itm190d681e3a27d?pid=TSHGDHWG8SUYZ6ZY&lid=LSTTSHGDHWG8SUYZ6ZY4XMRUL&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_8_317&otracker=browse&fm=organic&iid=f06eec8e-6419-465e-8084-88a75c333c92.TSHGDHWG8SUYZ6ZY.SEARCH&ppt=None&ppn=None&ssid=hc8ro5j3280000001658749331315,305,Color Block Men Polo Neck Multicolor T-Shirt,3.7,44,3,bad quality bad nice one,-0.6631,0.0000225000
225,http://flipkart.com/roadster-solid-men-polo-neck-brown-t-shirt/p/itm94df088161820?pid=TSHG5C6XWM3XJJUF&lid=LSTTSHG5C6XWM3XJJUFMDXTPY&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_233&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHG5C6XWM3XJJUF.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,225,Solid Men Polo Neck Brown T-Shirt,4.4,27,1,very nice 👍👍👍,0.4215,0.0000192000
303,http://flipkart.com/allen-solly-solid-men-polo-neck-white-t-shirt/p/itme9327bfa63aed?pid=TSHGDNYRDUGGNTRA&lid=LSTTSHGDNYRDUGGNTRAWRLCAH&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_8_315&otracker=browse&fm=organic&iid=f06eec8e-6419-465e-8084-88a75c333c92.TSHGDNYRDUGGNTRA.SEARCH&ppt=None&ppn=None&ssid=hc8ro5j3280000001658749331315,303,Solid Men Polo Neck White T-Shirt,4.1,23,2,everything good very good nice,1.3023,0.0000185000
355,http://flipkart.com/van-heusen-academy-self-design-men-polo-neck-light-green-t-shirt/p/itm1b964a1c95da1?pid=TSHGC2A5S4QDGTJH&lid=LSTTSHGC2A5S4QDGTJHFBDKGV&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_10_369&otracker=browse&fm=organic&iid=1a3c65da-ab4a-4f52-bda8-58dd5a54d54b.TSHGC2A5S4QDGTJH.SEARCH&ppt=None&ppn=None&ssid=rb4s26l0yo0000001658749334580,355,Self Design Men Polo Neck Light Green T-Shirt,4.2,18,2,awesome t shirt fitting is good 😊 very nice,2.2052,0.0000183000
382,http://flipkart.com/allen-solly-solid-men-polo-neck-white-t-shirt/p/itmea75a5ba1158d?pid=TSHGB68XZYHG5KZV&lid=LSTTSHGB68XZYHG5KZVC0BFDY&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_10_396&otracker=browse&fm=organic&iid=1a3c65da-ab4a-4f52-bda8-58dd5a54d54b.TSHGB68XZYHG5KZV.SEARCH&ppt=None&ppn=None&ssid=rb4s26l0yo0000001658749334580,382,Solid Men Polo Neck White T-Shirt,4.5,22,0,,0,0.0000154000
286,http://flipkart.com/metronaut-color-block-men-polo-neck-multicolor-t-shirt/p/itm04bb21fef7875?pid=TSHGCF6FBVHHVRU9&lid=LSTTSHGCF6FBVHHVRU9OQFMNK&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_8_297&otracker=browse&fm=organic&iid=f06eec8e-6419-465e-8084-88a75c333c92.TSHGCF6FBVHHVRU9.SEARCH&ppt=None&ppn=None&ssid=hc8ro5j3280000001658749331315,286,Color Block Men Polo Neck Multicolor T-Shirt,4.3,19,2,nice good,0.8619,0.0000153000
375,http://flipkart.com/allen-solly-solid-men-polo-neck-black-t-shirt/p/itm2299bda7a963b?pid=TSHG9Q5ZC8NKHHKZ&lid=LSTTSHG9Q5ZC8NKHHKZ2GFZEO&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_10_389&otracker=browse&fm=organic&iid=1a3c65da-ab4a-4f52-bda8-58dd5a54d54b.TSHG9Q5ZC8NKHHKZ.SEARCH&ppt=None&ppn=None&ssid=rb4s26l0yo0000001658749334580,375,Solid Men Polo Neck Black T-Shirt,4.2,23,4,,0,0.0000151000
253,http://flipkart.com/u-s-polo-assn-solid-men-neck-orange-t-shirt/p/itm7312cc6e95586?pid=TSHGDM4MGGRDRFPR&lid=LSTTSHGDM4MGGRDRFPR1LHKW8&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_7_262&otracker=browse&fm=organic&iid=dc9d5535-86d0-43bc-a738-2fe5a9215bc0.TSHGDM4MGGRDRFPR.SEARCH&ppt=None&ppn=None&ssid=rqmeotx2dc0000001658749329129,253,Solid Men Polo Neck Orange T-Shirt,4.3,22,1,its awesm,0,0.0000148000
199,http://flipkart.com/u-s-polo-assn-solid-men-neck-multicolor-t-shirt/p/itm4d47b5d0bca2e?pid=TSHGDM4HKZATYF8X&lid=LSTTSHGDM4HKZATYF8X6CYJJ1&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_206&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHGDM4HKZATYF8X.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,199,Solid Men Polo Neck Multicolor T-Shirt,4.5,19,2,,0,0.0000133000
380,http://flipkart.com/jack-jones-printed-men-round-neck-black-t-shirt/p/itmc3f567a5aab40?pid=TSHGAC38HGHR2P9C&lid=LSTTSHGAC38HGHR2P9C1W4BGD&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_10_394&otracker=browse&fm=organic&iid=1a3c65da-ab4a-4f52-bda8-58dd5a54d54b.TSHGAC38HGHR2P9C.SEARCH&ppt=None&ppn=None&ssid=rb4s26l0yo0000001658749334580,380,Printed Men Round Neck Black T-Shirt,3.8,20,1,looking sexy tishrit,0.5267,0.0000126000
282,http://flipkart.com/peter-england-solid-men-polo-neck-beige-t-shirt/p/itma03e0c2ec5bab?pid=TSHG5ZZSWYGWZYGT&lid=LSTTSHG5ZZSWYGWZYGTX0WA72&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_8_293&otracker=browse&fm=organic&iid=f06eec8e-6419-465e-8084-88a75c333c92.TSHG5ZZSWYGWZYGT.SEARCH&ppt=None&ppn=None&ssid=hc8ro5j3280000001658749331315,282,Solid Men Polo Neck Beige T-Shirt,3.3,23,0,,0,0.0000118000
307,http://flipkart.com/roadster-solid-men-round-neck-grey-t-shirt/p/itm7f925d7f67bba?pid=TSHFTZ32VCYTRQ4V&lid=LSTTSHFTZ32VCYTRQ4VXXKMBI&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_8_319&otracker=browse&fm=organic&iid=f06eec8e-6419-465e-8084-88a75c333c92.TSHFTZ32VCYTRQ4V.SEARCH&ppt=None&ppn=None&ssid=hc8ro5j3280000001658749331315,307,Solid Men Round Neck Grey T-Shirt,3.7,14,0,,0,0.0000080800
383,http://flipkart.com/levi-s-graphic-print-men-crew-neck-navy-blue-t-shirt/p/itme066c137d79f9?pid=TSHGDWFEHKGZZYEM&lid=LSTTSHGDWFEHKGZZYEMRSMFLZ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_10_397&otracker=browse&fm=organic&iid=1a3c65da-ab4a-4f52-bda8-58dd5a54d54b.TSHGDWFEHKGZZYEM.SEARCH&ppt=None&ppn=None&ssid=rb4s26l0yo0000001658749334580,383,Graphic Print Men Crew Neck Navy Blue T-Shirt,3.8,12,0,,0,0.0000071200
123,http://flipkart.com/ftx-solid-men-round-neck-multicolor-t-shirt/p/itme676386b9820a?pid=TSHGEHZUMX7Z7FPR&lid=LSTTSHGEHZUMX7Z7FPRMTYB4Y&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_4_128&otracker=browse&fm=organic&iid=en_cyg3gzF8xhJXKJ8JuJULzbCW%2F6IFhCwWpdcnksHhLnUUrXUOTjzvbtjJ6DjXqB1SJmD1XJS%2Fa79ZUf7J6jrNhg%3D%3D&ppt=None&ppn=None&ssid=p44ro0e34g0000001658749325968,123,Pack of 4 Solid Men Round Neck Multicolor T-Shirt,3.9,10,0,,0,0.0000060900
11,http://flipkart.com/louis-philippe-sport-solid-men-polo-neck-red-t-shirt/p/itmf7d082e1974f0?pid=TSHG2ERXKNSDKAGD&lid=LSTTSHG2ERXKNSDKAGDUQVWH9&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_12&otracker=browse&fm=organic&iid=en_okllZ7rIVahF31BScRynkFVJVh%2Flff30bBk4DmyXOyBYJ%2BZrK0%2BNqvdp6qvpUc8MNwM8gsr37QDr%2FK7vK1JlGg%3D%3D&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557,11,Solid Men Polo Neck Red T-Shirt,4.9,7,0,,0,0.0000053500
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
