ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
208,http://flipkart.com/tripr-solid-men-mandarin-collar-dark-green-black-t-shirt/p/itm8329d7154f3b4?pid=TSHGFY2ZZ3FVBUYK&lid=LSTTSHGFY2ZZ3FVBUYKOGYLFB&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_215&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHGFY2ZZ3FVBUYK.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,TRIPR ,"Solid Men Mandarin Collar Dark Green, Black T-Shirt",₹287,"₹1,999",3.9,60983,5822,"['nice products', 'Good product 👍🏻', 'Wow Superb nice Colour']"
209,http://flipkart.com/scott-international-solid-men-polo-neck-green-t-shirt/p/itm851bc8c2bdaaa?pid=TSHFWJZEGKSAGQUR&lid=LSTTSHFWJZEGKSAGQUREWCIEA&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_216&otracker=browse&fm=organic&iid=en_0LgL6xnhq0Cd7tJLWT9OYPKXaT02i3ReBR9SunOMtdYLCRrmaWycJ8iLPF2djFFZbKt4LIKPR6cJat2QnPCEvA%3D%3D&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,SCOTT INTERNATIONAL ,Solid Men Polo Neck Green T-Shirt,₹474,"₹1,499",3.9,14134,1676,"['Very comfortable product... Must buy..', 'This tshirt I brought for my grand Father.Good product Go for It👍', 'Good']"
210,http://flipkart.com/eyebogler-color-block-men-hooded-neck-grey-t-shirt/p/itmb7161e0d67058?pid=TSHG9AZ3TFG4WV5C&lid=LSTTSHG9AZ3TFG4WV5CJDLJEE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_217&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHG9AZ3TFG4WV5C.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Eyebogler ,Color Block Men Hooded Neck Grey T-Shirt,₹299,"₹1,299",4.2,1459,126,"['Nice product', 'Good quality', 'Nice ❤️❤️❤️❤️❤️']"
211,http://flipkart.com/hrx-hrithik-roshan-solid-men-round-crew-black-t-shirt/p/itmf9qj85zztsdnf?pid=TSHF9N5QBVAZVJPP&lid=LSTTSHF9N5QBVAZVJPPRVL0BO&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_218&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHF9N5QBVAZVJPP.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,HRX by Hrithik Roshan ,Solid Men Round or Crew Black T-Shirt,₹448,₹899,4.3,1204,149,"['Loved it', 'Very Comfortable', 'Love it😍I bought size L']"
212,http://flipkart.com/eyebogler-solid-men-mandarin-collar-green-t-shirt/p/itm2d6c119e8484e?pid=TSHG7HHNGUBS7VBV&lid=LSTTSHG7HHNGUBS7VBVUHOPNE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_219&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHG7HHNGUBS7VBV.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Eyebogler ,Solid Men Mandarin Collar Green T-Shirt,₹339,"₹1,299",4.1,278,21,"['Good', 'I like', 'Night t-shirt']"
213,http://flipkart.com/louis-philippe-sport-solid-men-polo-neck-red-t-shirt/p/itmf7d082e1974f0?pid=TSHG2ERXKNSDKAGD&lid=LSTTSHG2ERXKNSDKAGDUQVWH9&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_220&otracker=browse&fm=organic&iid=en_0LgL6xnhq0Cd7tJLWT9OYPKXaT02i3ReBR9SunOMtdYDuZCGoN2VyBg%2FdIQyN1uzDGZZ5sxt4SkabVjTAg6obw%3D%3D&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Louis Philippe Sport ,Solid Men Polo Neck Red T-Shirt,"₹1,044","₹1,899",4.9,7,0,[]
214,http://flipkart.com/eyebogler-printed-men-hooded-neck-blue-t-shirt/p/itmd7d5744ffb30a?pid=TSHG8ZDEYJHQADZH&lid=LSTTSHG8ZDEYJHQADZHRUFXGJ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_221&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHG8ZDEYJHQADZH.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,Eyebogler ,Printed Men Hooded Neck Blue T-Shirt,₹299,"₹1,299",4.1,1671,144,"['Nice Product At This Price. Colour Is Also Good. Quality Is Also Better Than Others. So U Can Buy It.', 'Super', 'Nice material, good look']"
215,http://flipkart.com/maniac-color-block-men-round-neck-black-yellow-t-shirt/p/itme33d0e52b82a7?pid=TSHFSTFZZ29CSVHG&lid=LSTTSHFSTFZZ29CSVHGQY5F0J&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_222&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHFSTFZZ29CSVHG.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,MANIAC ,"Pack of 2 Color Block Men Round Neck Black, Yellow T-Shirt",₹462,"₹1,629",4,81830,10030,"['Best quality T shirt Colour is so super.Thanks Flipkart', 'its nyc i like it', 'nice t-shirt']"
216,http://flipkart.com/tripr-color-block-men-round-neck-dark-green-white-yellow-t-shirt/p/itm02fa7e0bc9b6e?pid=TSHG4QYYPSPYT2PM&lid=LSTTSHG4QYYPSPYT2PMHNMZIT&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_223&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHG4QYYPSPYT2PM.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,TRIPR ,"Color Block Men Round Neck Dark Green, White, Yellow T-Shirt",₹273,"₹1,999",4,29449,2752,"['Awesome product 👌👌🤘❤️', 'Nice must buy', ""Very nice quality + perfect fitting... I'm searching this type of T-shirts in market Bt couldn't able to find any, finally I found it on Flipkart.. Thank you Flipkart""]"
217,http://flipkart.com/tripr-solid-men-v-neck-blue-grey-t-shirt/p/itm1f60d13d94f00?pid=TSHEXMT5ZYYGQCJ4&lid=LSTTSHEXMT5ZYYGQCJ4IZFLJE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_225&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHEXMT5ZYYGQCJ4.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012,TRIPR ,"Solid Men V Neck Blue, Grey T-Shirt",₹188,₹899,3.9,61040,8243,"['nice product but delivery is too long', 'Brilliant product...quality is very nyccc.....😙😙😗😄', 'Very very nice product ay']"
