id,tag,Score,0
0,neck,197,http://flipkart.com/fastcolors-solid-men-round-neck-brown-t-shirt/p/itm206d93684e003?pid=TSHG4BM2SXFGQPPB&lid=LSTTSHG4BM2SXFGQPPBYCIS5T&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_3_86&otracker=browse&fm=organic&iid=09a0a7e6-7da8-487f-8f7b-107f233c6e8e.TSHG4BM2SXFGQPPB.SEARCH&ppt=None&ppn=None&ssid=qc4bqvncjk0000001658749324876
1,round,108,http://flipkart.com/roden-striped-men-round-neck-yellow-t-shirt/p/itm3744da595cc60?pid=TSHFKAZFH6ETFP69&lid=LSTTSHFKAZFH6ETFP69UPZJQK&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_165&otracker=browse&fm=organic&iid=5f36eec8-b866-4818-acfd-fc96b59362fd.TSHFKAZFH6ETFP69.SEARCH&ppt=None&ppn=None&ssid=wi9d7ehkmo0000001658749327073
2,solid,79,http://flipkart.com/try-color-block-men-round-neck-maroon-beige-t-shirt/p/itm1e9001f0244a3?pid=TSHFGMGKGHE3SCTR&lid=LSTTSHFGMGKGHE3SCTRBE8PK1&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_10_374&otracker=browse&fm=organic&iid=1a3c65da-ab4a-4f52-bda8-58dd5a54d54b.TSHFGMGKGHE3SCTR.SEARCH&ppt=None&ppn=None&ssid=rb4s26l0yo0000001658749334580
3,polo,62,http://flipkart.com/reya-striped-men-round-neck-blue-t-shirt/p/itm89a5018480b93?pid=TSHFURHKZYPSPGQR&lid=LSTTSHFURHKZYPSPGQRVEMJSX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_35&otracker=browse&fm=organic&iid=823eddf6-e251-4765-a614-ffa6ffd23e62.TSHFURHKZYPSPGQR.SEARCH&ppt=None&ppn=None&ssid=gr7r5v2otc0000001658749322557
4,black,57,http://flipkart.com/maniac-color-block-men-round-neck-pink-black-t-shirt/p/itm17bb996884835?pid=TSHFSTFZKGEU2GCR&lid=LSTTSHFSTFZKGEU2GCRWT3GKX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_2_70&otracker=browse&fm=organic&iid=03790674-8250-4bfa-858b-0333696289cd.TSHFSTFZKGEU2GCR.SEARCH&ppt=None&ppn=None&ssid=69maj2m9v40000001658749323857
5,print,50,http://flipkart.com/hrx-hrithik-roshan-solid-men-round-crew-black-t-shirt/p/itmf9qj85zztsdnf?pid=TSHF9N5QBVAZVJPP&lid=LSTTSHF9N5QBVAZVJPPRVL0BO&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_6_218&otracker=browse&fm=organic&iid=084e018d-f70c-4aa8-b3f0-2aa453359b85.TSHF9N5QBVAZVJPP.SEARCH&ppt=None&ppn=None&ssid=h4ptlhsnsg0000001658749328012
