ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
253,http://flipkart.com/tokyo-talkies-solid-women-flared-green-skirt/p/itm66882c44c7853?pid=SKIG5ZZCWJAKETFN&lid=LSTSKIG5ZZCWJAKETFNAABDTD&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_8_314&otracker=browse&fm=organic&iid=23d51186-d045-46b1-81f9-198d2c6b7bee.SKIG5ZZCWJAKETFN.SEARCH&ppt=None&ppn=None&ssid=okephamwgw0000001658754635720,Tokyo Talkies ,Women Solid Flared Green Skirt,₹306,"₹1,099",3.8,111,13,[]
254,http://flipkart.com/tokyo-talkies-solid-women-flared-blue-skirt/p/itm501af1406b289?pid=SKIFUUFFMQDWKHTR&lid=LSTSKIFUUFFMQDWKHTRORLIJE&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_8_315&otracker=browse&fm=organic&iid=23d51186-d045-46b1-81f9-198d2c6b7bee.SKIFUUFFMQDWKHTR.SEARCH&ppt=None&ppn=None&ssid=okephamwgw0000001658754635720,Tokyo Talkies ,Women Solid Flared Blue Skirt,₹502,"₹1,799",4.4,86,11,"['Very nice', 'Good', 'Good and comfortable']"
255,http://flipkart.com/dl-fashion-solid-women-pleated-black-skirt/p/itm845f404d52860?pid=SKIFVJ3VFYAF2FWF&lid=LSTSKIFVJ3VFYAF2FWFR5XU8G&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_8_317&otracker=browse&fm=organic&iid=23d51186-d045-46b1-81f9-198d2c6b7bee.SKIFVJ3VFYAF2FWF.SEARCH&ppt=None&ppn=None&ssid=okephamwgw0000001658754635720,DL Fashion ,Women Solid Pleated Black Skirt,₹299,₹999,3.5,5549,646,"['Excellent', 'Awesome skirt🖤quite expensive', 'Osm pleated skirt❤️❤️❤️I love it']"
256,http://flipkart.com/saava-checkered-women-tube-black-skirt/p/itm96bc827a9c408?pid=SKIGYMABPBJNGTBR&lid=LSTSKIGYMABPBJNGTBR6CVT6M&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_8_318&otracker=browse&fm=organic&iid=23d51186-d045-46b1-81f9-198d2c6b7bee.SKIGYMABPBJNGTBR.SEARCH&ppt=None&ppn=None&ssid=okephamwgw0000001658754635720,Saava ,Women Checkered Tube Black Skirt,₹370,₹799,3.9,723,66,"['According to price ok ok', 'I picked one size smaller M my hips is around 34 - 35 waist is 27 - 28 mid way so had issue fitting into the skirt … quality very good and print all very good 😊 just chk size well .', 'Nic skirt, nic febric. My cutee liked a lot']"
257,http://flipkart.com/van-heusen-solid-women-regular-grey-skirt/p/itmf6u2j7xhyxfhd?pid=SKIF6SYGPTWCHPJT&lid=LSTSKIF6SYGPTWCHPJTBQFQL1&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_8_319&otracker=browse&fm=organic&iid=23d51186-d045-46b1-81f9-198d2c6b7bee.SKIF6SYGPTWCHPJT.SEARCH&ppt=None&ppn=None&ssid=okephamwgw0000001658754635720,VAN HEUSEN ,Women Solid Regular Grey Skirt,₹672,"₹1,599",4.3,100,8,"['Perfect', 'Very beautiful skiry. just loved it', 'Superb one']"
258,http://flipkart.com/urbanic-floral-print-women-regular-yellow-skirt/p/itmc10480afeddf8?pid=SKIG5YNHPASPBV5C&lid=LSTSKIG5YNHPASPBV5CPY2DJ3&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_9_321&otracker=browse&fm=organic&iid=69e239c2-1a67-45ba-9cb3-ef8a7f54c146.SKIG5YNHPASPBV5C.SEARCH&ppt=None&ppn=None&ssid=mby6gqd8740000001658754636747,Urbanic ,Women Floral Print Regular Yellow Skirt,₹426,₹890,3.9,30,3,"['Good one', 'Very nice product .....the material of the skirt is very comfortable I love it you should surely buy this product', 'Amazing skirt , looks beautiful , quality is good too.']"
259,http://flipkart.com/codaisy-solid-women-a-line-blue-skirt/p/itm7dd056f326bd5?pid=SKIGC2S3GPY9EYAU&lid=LSTSKIGC2S3GPY9EYAU6YRTIT&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_9_322&otracker=browse&fm=organic&iid=69e239c2-1a67-45ba-9cb3-ef8a7f54c146.SKIGC2S3GPY9EYAU.SEARCH&ppt=None&ppn=None&ssid=mby6gqd8740000001658754636747,Codaisy ,Women Solid A-line Blue Skirt,₹499,"₹1,250",4.3,442,62,"['Super quality💕💕', 'it just like awesome', 'Nice']"
260,http://flipkart.com/vikalps-printed-women-regular-blue-skirt/p/itmb310b0ff8c15d?pid=SKIFJ8PZRFC3YVNB&lid=LSTSKIFJ8PZRFC3YVNBGMCOUT&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_9_323&otracker=browse&fm=organic&iid=69e239c2-1a67-45ba-9cb3-ef8a7f54c146.SKIFJ8PZRFC3YVNB.SEARCH&ppt=None&ppn=None&ssid=mby6gqd8740000001658754636747,VIKALPS ,Women Printed Regular Blue Skirt,₹350,₹900,3.8,155,21,"[""It's a nice skirt."", 'Nicee', 'verry verry nice thank you so much']"
261,http://flipkart.com/sassafras-solid-women-a-line-maroon-skirt/p/itm72e763ffecd3e?pid=SKIFVB5FUFVVNK7V&lid=LSTSKIFVB5FUFVVNK7VL3BLPT&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_9_325&otracker=browse&fm=organic&iid=69e239c2-1a67-45ba-9cb3-ef8a7f54c146.SKIFVB5FUFVVNK7V.SEARCH&ppt=None&ppn=None&ssid=mby6gqd8740000001658754636747,SASSAFRAS ,Women Solid A-line Maroon Skirt,₹417,"₹1,199",4.1,414,30,"['Its awesome  🥰🥰', 'Great skirt. Great material. Love it.', 'Amazing']"
262,http://flipkart.com/ratan-solid-women-gathered-pink-skirt/p/itma0d728ea13c68?pid=SKIGFPERCHKGNJ9G&lid=LSTSKIGFPERCHKGNJ9GHFUBFT&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_9_326&otracker=browse&fm=organic&iid=69e239c2-1a67-45ba-9cb3-ef8a7f54c146.SKIGFPERCHKGNJ9G.SEARCH&ppt=None&ppn=None&ssid=mby6gqd8740000001658754636747,ratan ,Women Solid Gathered Pink Skirt,₹499,"₹1,899",4.1,203,25,"['Looking beautifulAnd size is also fit me Quility is good 👍👍👍👍👍👍👍👍👍👍👍👍👍', 'Just owsam', 'Nice product.... just go with it']"
