,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
77,http://flipkart.com/sassafras-solid-women-a-line-black-skirt/p/itm0cd5d0612f278?pid=SKIFVB5F3PQF4EYZ&lid=LSTSKIFVB5F3PQF4EYZHPIBVL&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_3_98&otracker=browse&fm=organic&iid=6fbd7fce-8db2-4217-acb1-1b2c2f21c44d.SKIFVB5F3PQF4EYZ.SEARCH&ppt=None&ppn=None&ssid=e00o74xhgw0000001658754630695,77,Women Solid A-line Black Skirt,3.8,150,13,i order two product recieve only one when i exchange recieve again one productcompany is looting the customers nice product pathetic quality of the product,-0.1504,0.0020756165
306,http://flipkart.com/montrez-washed-women-pleated-black-skirt/p/itmcd81ab886d7a3?pid=SKIGDCYNFDFTCPCW&lid=LSTSKIGDCYNFDFTCPCWKGUPDR&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_10_381&otracker=browse&fm=organic&iid=11ad4385-82c4-45b4-bd41-659e72e8f2aa.SKIGDCYNFDFTCPCW.SEARCH&ppt=None&ppn=None&ssid=hghl74woo00000001658754637716,306,Women Washed Pleated Black Skirt,4,108,10,good i bought it for daily use  good product 👍 nice quality,1.3023,0.0020568836
154,http://flipkart.com/sassafras-self-design-women-gathered-green-skirt/p/itm7406f44f00130?pid=SKIFPKGKJZPCZNGX&lid=LSTSKIFPKGKJZPCZNGXIFWYCR&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_5_191&otracker=browse&fm=organic&iid=e74ac348-ebe8-4dab-b71d-5977bd888bcf.SKIFPKGKJZPCZNGX.SEARCH&ppt=None&ppn=None&ssid=zuvmkf8rb40000001658754632960,154,Women Self Design Gathered Green Skirt,4,114,12,good product waist is too loose go for your correct size or smaller for perfect fitting osm looks thick around the waist,0.6941,0.0019904699
69,http://flipkart.com/tokyo-talkies-solid-women-a-line-brown-skirt/p/itm49a93a05b6f38?pid=SKIG9FYNH95DMMXU&lid=LSTSKIG9FYNH95DMMXUTOVROW&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_3_89&otracker=browse&fm=organic&iid=6fbd7fce-8db2-4217-acb1-1b2c2f21c44d.SKIG9FYNH95DMMXU.SEARCH&ppt=None&ppn=None&ssid=e00o74xhgw0000001658754630695,69,Women Solid A-line Brown Skirt,4.4,90,11,nice dress supper good i am too much satisfied,1.2834,0.0019581753
82,http://flipkart.com/uptownie-lite-self-design-women-straight-blue-skirt/p/itme4a7a21f3ae3a?pid=SKIG9S7FFFYHFGA4&lid=LSTSKIG9S7FFFYHFGA455B1OR&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_3_105&otracker=browse&fm=organic&iid=6fbd7fce-8db2-4217-acb1-1b2c2f21c44d.SKIG9S7FFFYHFGA4.SEARCH&ppt=None&ppn=None&ssid=e00o74xhgw0000001658754630695,82,Women Self Design Straight Blue Skirt,4.2,66,7,perfect length for an indian women’s height goes with any top good material and great fitting very happy with my order looks exactly like shown in picture highly recommended goodjust the fit could be more better,3.7765,0.0019228313
117,http://flipkart.com/uptownie-lite-self-design-women-straight-maroon-skirt/p/itma875d2ef0d3d9?pid=SKIG9S7FBG8SSWAY&lid=LSTSKIG9S7FBG8SSWAYV2PHEE&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_4_149&otracker=browse&fm=organic&iid=c2e8f37a-c917-4619-a1ec-36a3b794b8a7.SKIG9S7FBG8SSWAY.SEARCH&ppt=None&ppn=None&ssid=7rw6oula680000001658754631703,117,Women Self Design Straight Maroon Skirt,4.2,66,7,perfect length for an indian women’s height goes with any top good material and great fitting very happy with my order looks exactly like shown in picture highly recommended goodjust the fit could be more better,3.7765,0.0019228313
145,http://flipkart.com/uptownie-lite-self-design-women-straight-dark-blue-skirt/p/itm58ffa98eeb926?pid=SKIG9S7FTFCSCGK7&lid=LSTSKIG9S7FTFCSCGK7AOOHQ7&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_5_182&otracker=browse&fm=organic&iid=e74ac348-ebe8-4dab-b71d-5977bd888bcf.SKIG9S7FTFCSCGK7.SEARCH&ppt=None&ppn=None&ssid=zuvmkf8rb40000001658754632960,145,Women Self Design Straight Dark Blue Skirt,4.2,66,7,perfect length for an indian women’s height goes with any top good material and great fitting very happy with my order looks exactly like shown in picture highly recommended goodjust the fit could be more better,3.7765,0.0019228313
159,http://flipkart.com/uptownie-lite-self-design-women-straight-black-skirt/p/itm6f84a792a9ecd?pid=SKIG9S7FRSRG3JZC&lid=LSTSKIG9S7FRSRG3JZCXAZWI8&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_5_199&otracker=browse&fm=organic&iid=e74ac348-ebe8-4dab-b71d-5977bd888bcf.SKIG9S7FRSRG3JZC.SEARCH&ppt=None&ppn=None&ssid=zuvmkf8rb40000001658754632960,159,Women Self Design Straight Black Skirt,4.2,66,7,perfect length for an indian women’s height goes with any top good material and great fitting very happy with my order looks exactly like shown in picture highly recommended goodjust the fit could be more better,3.7765,0.0019228313
166,http://flipkart.com/fabtalk-solid-women-straight-light-blue-skirt/p/itmbc9bf09886f5d?pid=SKIG93FYYABXK6JY&lid=LSTSKIG93FYYABXK6JYC1MWXS&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_6_207&otracker=browse&fm=organic&iid=2c5cc464-e9e7-42ed-b5e4-2ed0cd27636a.SKIG93FYYABXK6JY.SEARCH&ppt=None&ppn=None&ssid=ox1oaa7vfk0000001658754633878,166,Women Solid Straight Light Blue Skirt,4,99,8,awesome good product at this price 👍 ok,1.3613,0.0018505440
86,http://flipkart.com/varanga-floral-print-women-tiered-blue-skirt/p/itm258b0ec778ba0?pid=SKIFQYZ6EDPNGNGM&lid=LSTSKIFQYZ6EDPNGNGMFBOYMQ&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_3_109&otracker=browse&fm=organic&iid=6fbd7fce-8db2-4217-acb1-1b2c2f21c44d.SKIFQYZ6EDPNGNGM.SEARCH&ppt=None&ppn=None&ssid=e00o74xhgw0000001658754630695,86,Women Floral Print Tiered Blue Skirt,4.2,85,11,beautiful nice product ok,1.3169,0.0018239882
