,URL,id,desc,stars,num_ratings,num_reviews,reviews,vader_score,final_score
110,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_4_124&otracker=browse&fm=organic&iid=en_C99HVefgtEX76a1jASv7Mhx8xw8HzL%2Fh2uP9fQRHMLjP9XnpqCX6%2F2QlgyPrC%2FV8eQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=eyr0hefdxs0000001658756737931,110,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
160,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_176&otracker=browse&fm=organic&iid=en_hlZBYjMhjxrzD012Wn83cXGcpLdKp19pNGvkkvOwKhtGbXhHiydp8xsuVdDldFXxeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,160,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
186,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_6_204&otracker=browse&fm=organic&iid=en_rGmQh6SQt%2FnCusYCCzlvyxfLKCqlzjo%2FLFWZdUWNQJAK5ZM%2F5lJpZiSP57CCBiC7eQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=gbo1wgpztc0000001658756740571,186,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
223,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_7_244&otracker=browse&fm=organic&iid=en_9%2BmzLsy51trwHAvJ2DwswImedrLP9p1GeogpBJTkD0OZUB7ONV4Kz8rxdzl2oeCEeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=xtqx69xdo00000001658756741660,223,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
261,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_8_284&otracker=browse&fm=organic&iid=en_4NHvBEWQTX%2B1pNk6x%2Fegt07vDvSCtsMRfD36wl799thhFN4Y%2FxDi2%2FFO%2FwwWeJqjeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=4gx8zex8e80000001658756742655,261,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
297,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_9_324&otracker=browse&fm=organic&iid=en_YR0nD3xAyVWf5dNuT7RPJr1WhBj9S5Uldsgv9yufQlkeKzZqeDWCJqYhPWAkah2oeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=addztmnj2o0000001658756744894,297,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
338,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_10_368&otracker=browse&fm=organic&iid=en_HuDUzw5bUJMADomwPz337D3siJ3jsMe%2FwZLDzWEtbn2aHkCAlIhURvP%2Ft6vew56%2BeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=7rgz4b6q000000001658756745981,338,Women Fit and Flare Purple Dress,4.3,20596,2761,it was an awesome dress  i loved it very nice product  good quality  beautiful dress  recommend so good,3.4872,0.0642243889
104,http://flipkart.com/aayu-women-maxi-white-beige-dress/p/itmf3vcrkmwjxs9x?pid=DREEV87RVS3ECFSG&lid=LSTDREEV87RVS3ECFSGZW7JMM&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_3_117&otracker=browse&fm=organic&iid=518e877b-2c85-48a1-b683-3dc7f39eb17a.DREEV87RVS3ECFSG.SEARCH&ppt=None&ppn=None&ssid=3253kt4y000000001658756736902,104,"Women Maxi White, Beige Dress",4.1,15872,3230,just loved it osm product value for price good dress it looks nice on me i suggest u all to buy i am in lv with this dress this dress is very beautiful i liked it quality is very good,3.2626,0.0572996331
112,http://flipkart.com/aayu-women-maxi-white-beige-dress/p/itmf3vcrkmwjxs9x?pid=DREEV87RVS3ECFSG&lid=LSTDREEV87RVS3ECFSGZW7JMM&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_4_126&otracker=browse&fm=organic&iid=475b9e0f-e2fa-443e-9c2e-3bffb00fcde6.DREEV87RVS3ECFSG.SEARCH&ppt=None&ppn=None&ssid=eyr0hefdxs0000001658756737931,112,"Women Maxi White, Beige Dress",4.1,15872,3230,just loved it osm product value for price good dress it looks nice on me i suggest u all to buy i am in lv with this dress this dress is very beautiful i liked it quality is very good,3.2626,0.0572996331
54,http://flipkart.com/rudraaksha-women-fit-flare-yellow-dress/p/itmf9nqznrnyyexh?pid=DREF9HDU9YCRGGYR&lid=LSTDREF9HDU9YCRGGYR7PRTWI&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_2_62&otracker=browse&fm=organic&iid=4f187e50-412d-4000-b0b3-491b071904b8.DREF9HDU9YCRGGYR.SEARCH&ppt=None&ppn=None&ssid=ulr3gqi0ls0000001658756735101,54,Women Fit and Flare Yellow Dress With Mask,4,20036,3850,awesome dress must buy nice color perfect💯✨👌,1.9493,0.0545934202
119,http://flipkart.com/metro-fashion-women-maxi-maroon-white-dress/p/itm84e8743de0974?pid=DREFVAJ9YCUHZYYW&lid=LSTDREFVAJ9YCUHZYYWDEAM6R&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_4_134&otracker=browse&fm=organic&iid=475b9e0f-e2fa-443e-9c2e-3bffb00fcde6.DREFVAJ9YCUHZYYW.SEARCH&ppt=None&ppn=None&ssid=eyr0hefdxs0000001658756737931,119,"Women Maxi Maroon, White Dress",4.3,13037,1910,amazing dress awesome fit received this beautiful maxi dress perfect size perfect colour dress quality is really nice ive tatally satisfied with this please guys go ahead and buy this beautiful dress,5.0758,0.0511604549
