ID,URL,BRAND,ITEM,DISCOUNTED PRICE,MRP,STARS,NUMBER OF RATINGS,NUMBER OF REVIEWS,LIST OF REVIEWS
157,http://flipkart.com/miss-chase-women-fit-flare-purple-dress/p/itm63d440000bfff?pid=DREFH8T35YV3GGCF&lid=LSTDREFH8T35YV3GGCFICMSMK&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_173&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREFH8T35YV3GGCF.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Miss Chase ,Women Fit and Flare Purple Dress,₹855,"₹1,899",3.9,102,16,"[""The stich is visible on the back side of the dress..That's disappointing..also the purple colour is not that bright as shown in the picture..overall it's not so bad & not so good."", 'Good product', 'Nice material']"
158,http://flipkart.com/dyrectdeals-women-maxi-green-dress/p/itmff37adee6e234?pid=DREGFGHU9YK4CTFF&lid=LSTDREGFGHU9YK4CTFF8LAVBG&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_174&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREGFGHU9YK4CTFF.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,dyrectdeals ,Women Maxi Green Dress,₹358,"₹1,599",4.1,3022,378,"['This dress is just love 🖤🥰 Thank you so much flipkart.', 'Fall in love with this dress', ""It's worth buying the product.. Go for it💖""]"
159,http://flipkart.com/sheetal-associates-women-a-line-purple-dress/p/itmc01622ea62f64?pid=DREFPY8Z3DCYFVQK&lid=LSTDREFPY8Z3DCYFVQKVRHZ33&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_175&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREFPY8Z3DCYFVQK.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Sheetal Associates ,Women A-line Purple Dress,₹410,₹999,4.1,10521,1355,"['I love this one 💖', 'Just wow😍😍😚', 'Nice']"
160,http://flipkart.com/iqraar-women-fit-flare-purple-dress/p/itm4166bfb647d5f?pid=DREFYHWVG9QPFZYP&lid=LSTDREFYHWVG9QPFZYPGVEYGL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_176&otracker=browse&fm=organic&iid=en_hlZBYjMhjxrzD012Wn83cXGcpLdKp19pNGvkkvOwKhtGbXhHiydp8xsuVdDldFXxeQdJ1ANDvwtkoTdLrMx7FA%3D%3D&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,IQRAAR ,Women Fit and Flare Purple Dress,₹436,"₹1,199",4.3,20596,2761,"['It was an awesome dress . I loved it', 'Very nice product , good quality , beautiful dress , recommend', 'So good']"
161,http://flipkart.com/lady-stark-women-maxi-pink-dress/p/itm652f755009998?pid=DREGF4YRZTBQP7PW&lid=LSTDREGF4YRZTBQP7PWLIVVPX&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_177&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREGF4YRZTBQP7PW.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Lady Stark ,Women Maxi Pink Dress,₹768,"₹2,699",4.3,1893,276,"['Pretty dress. Good quality.', 'Nice dress', 'Tq Flipkart']"
162,http://flipkart.com/sheetal-associates-women-maxi-green-dress/p/itmffncxhgckz3wd?pid=DREFFMY6H8YBSAKR&lid=LSTDREFFMY6H8YBSAKR7MM0QB&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_178&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREFFMY6H8YBSAKR.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Sheetal Associates ,Women Maxi Green Dress,₹399,₹999,4,39659,5395,"['Perfect fit, good product', 'Really nice one', 'very nice']"
163,http://flipkart.com/selvia-women-wrap-pink-dress/p/itmd9653e9828225?pid=DREGACFTMGHEGGAG&lid=LSTDREGACFTMGHEGGAG4GFPR4&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_179&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREGACFTMGHEGGAG.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Selvia ,Women Wrap Pink Dress,₹499,"₹2,263",4.1,182,22,"['Awesome dress', 'Very poor quality..😡', 'Fit is good.Comfortable to wear.Great jumpsuit at this price.']"
164,http://flipkart.com/selvia-women-bodycon-maroon-dress/p/itm9dbd497b30f5b?pid=DREGAFG8AJEZARKM&lid=LSTDREGAFG8AJEZARKMLDW6MR&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_181&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREGAFG8AJEZARKM.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Selvia ,Women Bodycon Maroon Dress,₹379,"₹1,730",3.7,270,22,"['Perfect fitting', 'Loved it', 'Nice']"
165,http://flipkart.com/flying-machine-women-fit-flare-multicolor-dress/p/itm41694f7f0bbd1?pid=DREGY7XGHTDVEZCC&lid=LSTDREGY7XGHTDVEZCCC9JW4V&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_182&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREGY7XGHTDVEZCC.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,FLYING MACHINE ,Women Fit and Flare Multicolor Dress,₹384,"₹1,899",4,81,10,"['Nice dress', 'Nice', 'Too big']"
166,http://flipkart.com/flying-machine-women-a-line-yellow-dress/p/itme75f2eb45ab40?pid=DREGY7XGZZCHHG5T&lid=LSTDREGY7XGZZCHHG5TE75WTI&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_183&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREGY7XGZZCHHG5T.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,FLYING MACHINE ,Women A-line Yellow Dress,₹445,"₹2,199",3.8,54,6,"['beautiful and simple', 'Worth buying', 'Good product in such price range']"
167,http://flipkart.com/dressberry-women-sheath-black-dress/p/itmfe2899bd6217f?pid=DREFZQ9C5GF4Q2PN&lid=LSTDREFZQ9C5GF4Q2PNDARVLE&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_184&otracker=browse&fm=organic&iid=en_hlZBYjMhjxrzD012Wn83cXGcpLdKp19pNGvkkvOwKhuI68o%2FUdQO0zCHBdyq45OWHAeDb6wGThbbsltLVttxGA%3D%3D&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Dressberry ,Women Sheath Black Dress,₹607,"₹1,599",4,115,15,"['Okay type', 'Cloth quality is very cheap', 'comfortable to wear ..😌 . Price worthed']"
168,http://flipkart.com/god-bless-women-fit-flare-blue-dress/p/itm05bb7acc73405?pid=DREFMHTNXYBZFKEH&lid=LSTDREFMHTNXYBZFKEHW2GRPZ&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_185&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREFMHTNXYBZFKEH.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,God Bless ,Women Fit and Flare Blue Dress,₹499,"₹1,399",4.2,3463,466,"['Loved it...😍🤩', 'Beautiful dress 😍', 'Nyc product👌']"
169,http://flipkart.com/aahwan-women-bodycon-maroon-dress/p/itme97f4b6131489?pid=DREG32XYMKQ2HJGH&lid=LSTDREG32XYMKQ2HJGHCYKPEC&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_186&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREG32XYMKQ2HJGH.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Aahwan ,Women Bodycon Maroon Dress,₹499,"₹1,999",3.8,3541,338,"['Dress is really very good and is comfortable.. It fits me well... At this price range its awesome....', 'Such an appropriate fiting and overall fits and makes me feel so good about my body , I absolutely feel so nice and quality is just superb.', 'Loved the dress it looks so classy I ordered it for my birthday and it made my day at this price the quality is amazing I am very happy with the purchase']"
170,http://flipkart.com/selvia-women-bodycon-pink-dress/p/itmf80f0f0a6ade2?pid=DREG9NTSECTMRWBH&lid=LSTDREG9NTSECTMRWBHRVQXUJ&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_187&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREG9NTSECTMRWBH.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Selvia ,Women Bodycon Pink Dress,₹369,"₹1,663",4.3,2479,249,"['Nice 🙂', 'Nice dress', 'Nice']"
171,http://flipkart.com/sheetal-associates-women-wrap-pink-dress/p/itmde841fb7c1f91?pid=DREGACDFHNXP36XX&lid=LSTDREGACDFHNXP36XXEANDXF&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_188&otracker=browse&fm=organic&iid=en_hlZBYjMhjxrzD012Wn83cXGcpLdKp19pNGvkkvOwKhu1WDCz3Io%2FpuaFKH%2F52cDJMjaonJdDfMiIpJRAKTSA2Q%3D%3D&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Sheetal Associates ,Women Wrap Pink Dress,₹399,"₹1,999",4.2,9636,1124,"[""It's absolutely stunning 🥰"", 'This dress is amezing!! Just go for it🔥💯', 'Gorgeous 😍😍😍']"
172,http://flipkart.com/purshottam-wala-women-maxi-blue-dress/p/itm27bdfaac8595f?pid=DREGCHWYJ3VHVYQ2&lid=LSTDREGCHWYJ3VHVYQ2IUGECO&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_5_189&otracker=browse&fm=organic&iid=9db22210-7319-4f31-8a7d-13cb2f0edf9f.DREGCHWYJ3VHVYQ2.SEARCH&ppt=None&ppn=None&ssid=vtbp9w2e2o0000001658756739007,Purshottam Wala ,Women Maxi Blue Dress,₹449,"₹1,799",4.2,12918,1512,"['Awsm n comfortable', '🌝👌🏻 beautiful', ""I'm really satisfied with this dress ... I'm obsessed 😍I would highly recommend you to boy this dress... ❤️🔥""]"
